genome	biosample	clade	label
GCA_017728825.1_PDT000996732.1	SAMN18324369	II	human
GCA_017728775.1_PDT000996308.1	SAMN18324215	II	human
GCA_017727735.1_PDT000997099.1	SAMN18324573	II	human
GCA_017725595.1_PDT000997051.1	SAMN18324616	II	human
GCA_017724595.1_PDT000996277.1	SAMN18324243	II	human
GCA_017724555.1_PDT000996513.1	SAMN18324030	II	human
GCA_017722315.1_PDT000996688.1	SAMN18324409	II	human
GCA_017729655.1_PDT000996606.1	SAMN18324483	II	human
GCA_017721515.1_PDT000996249.1	SAMN18324268	II	human
GCA_017721495.1_PDT000996591.1	SAMN18324496	II	human
GCA_017721475.1_PDT000996708.1	SAMN18324391	II	human
GCA_017721455.1_PDT000996723.1	SAMN18324377	II	human
GCA_017721435.1_PDT000996724.1	SAMN18324376	II	human
GCA_017721355.1_PDT000997027.1	SAMN18324637	II	human
GCA_017719455.1_PDT000996577.1	SAMN18324509	II	human
GCA_017719435.1_PDT000996317.1	SAMN18324207	II	human
GCA_017719415.1_PDT000996739.1	SAMN18324363	II	human
GCA_017719395.1_PDT000996981.1	SAMN18324679	II	human
GCA_017718455.1_PDT000996240.1	SAMN18324276	II	human
GCA_017718435.1_PDT000996439.1	SAMN18324097	II	human
GCA_017718415.1_PDT000996806.1	SAMN18324303	II	human
GCA_017718395.1_PDT000996602.1	SAMN18324486	II	human
GCA_017717355.1_PDT000996306.1	SAMN18324217	II	human
GCA_017716255.1_PDT000995668.1	SAMN18219065	II	human
GCA_017716235.1_PDT000995670.1	SAMN18219063	II	human
GCA_017716175.1_PDT000996517.1	SAMN18324026	II	human
GCA_017716115.1_PDT000996502.1	SAMN18324040	II	human
GCA_017716155.1_PDT000996497.1	SAMN18323937	II	human
GCA_017715895.1_PDT000996365.1	SAMN18324164	II	human
GCA_017715855.1_PDT000996253.1	SAMN18323959	II	human
GCA_017715865.1_PDT000996331.1	SAMN18323952	II	human
GCA_017715835.1_PDT000996380.1	SAMN18324150	II	human
GCA_017715815.1_PDT000996422.1	SAMN18324113	II	human
GCA_017715795.1_PDT000996431.1	SAMN18323943	II	human
GCA_017715775.1_PDT000996451.1	SAMN18324086	II	human
GCA_017715755.1_PDT000996461.1	SAMN18324077	II	human
GCA_017715735.1_PDT000996478.1	SAMN18324062	II	human
GCA_017715715.1_PDT000996476.1	SAMN18324064	II	human
GCA_017715695.1_PDT000996487.1	SAMN18324054	II	human
GCA_017715675.1_PDT000996519.1	SAMN18323935	II	human
GCA_017715655.1_PDT000996559.1	SAMN18323985	II	human
GCA_017715635.1_PDT000996593.1	SAMN18323982	II	human
GCA_017715615.1_PDT000996615.1	SAMN18323980	II	human
GCA_017715595.1_PDT000997041.1	SAMN18323995	II	human
